Amenity Type,Name,Latitude,Longitude,road,suburb,state_district
restaurant,Nonsense Fast Food,25.2965454,82.9991854,Peace point Road,,Varanasi
restaurant,breakfast centre,25.0182224,82.3601259,Vijaypur Road,,Mirzapur
restaurant,Forty Wings,25.4033317,81.8682416,Rudra Road,Kharkauni,Prayagraj
restaurant,Kadir Sweets,25.4029389,81.8691933,Mirzapur Road,Kharkauni,Prayagraj
restaurant,Shaam Restaurant,25.4071555,81.8674795,Mirzapur Road,Kharkauni,Prayagraj
restaurant,Alveena Food City,25.4012194,81.8689299,Mirzapur Road,Kharkauni,Prayagraj
restaurant,Sethi Punjabi Dhaba,25.3907765,81.8627541,Naini Station Road,Kharkauni,Prayagraj
restaurant,Pizza Hut,25.4505795,81.8304807,Clive Road,Civil Lines,Prayagraj
restaurant,Tandoor,25.450402,81.8315022,MG Marg,Civil Lines,Prayagraj
restaurant,Busybee,25.4026598,81.8686437,Rudra Road,Kharkauni,Prayagraj
restaurant,Higgins IX CI,25.4110742,81.8429396,Mahewa-Rewa Marg,,Prayagraj
restaurant,Habib Hotel,25.3990652,81.8632979,FCI Road,Kharkauni,Prayagraj
restaurant,Mishthi,25.3997775,81.8670336,Mirzapur Road,Kharkauni,Prayagraj
restaurant,BIKANER,25.451436,81.8324604,Strachey Road,Civil Lines,Prayagraj
restaurant,Pizza Hut,25.4559442,81.8355087,Tashkent Marg,Civil Lines,Prayagraj
restaurant,शिवांगी लंच हाउस,25.3053215,82.9925403,Rathyatra Mahmoorganj Road,,Varanasi
restaurant,Shanti Restaurant,25.3048518,83.0077197,Dashashwamedh Road,,Varanasi
restaurant,Jyoti Cafe,25.3056593,83.0086228,Dashashwamedh Road,,Varanasi
restaurant,Rustic Kitchen,25.4571074,81.8352164,Purushottamdas Tandon Marg,Civil Lines,Prayagraj
restaurant,Curry Leaf,25.455148,81.8374386,Tashkent Marg,Civil Lines,Prayagraj
restaurant,Kailash Parbat,25.4519558,81.8349982,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
restaurant,CHICAGO PIZZA,25.4520503,81.8352836,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
restaurant,Royal Castle,25.4065503,81.8679293,Mirzapur Road,Kharkauni,Prayagraj
restaurant,New Zaika,25.4025606,81.8695416,Arail Road,Kharkauni,Prayagraj
restaurant,Al Zaika,25.4023521,81.8695444,Mirzapur Road,Kharkauni,Prayagraj
restaurant,Mustfa Chicken Biryani,25.4029997,81.8692041,Mirzapur Road,Kharkauni,Prayagraj
restaurant,AM 2 PM Restaurant,25.2595214,82.9815196,Radial Road 10,,Varanasi
restaurant,Relish Scoop Bar and Cafe,25.2634152,82.9817206,g1 road,,Varanasi
restaurant,Clock Tower,26.2753215,82.4711415,MDR113E,,Sultanpur
restaurant,Underground Cafe,26.2752273,82.4714497,MDR113E,,Sultanpur
restaurant,Abhisek Fastfood Corner,26.2714313,82.4679498,MDR113E,,Sultanpur
restaurant,Cimaya,25.2638528,82.9815187,g1 road,,Varanasi
restaurant,kavyanjali sweet house,25.2635938,82.9816088,g1 road,,Varanasi
restaurant,sheik chill small shop,25.2635759,82.9816356,g1 road,,Varanasi
restaurant,foodie friend's,25.2649386,82.9817699,Semi Circle Road 6,,Varanasi
restaurant,NH 56 hotel,25.3546362,82.9656729,NH31,,Varanasi
restaurant,sagar bhojanalay,25.3547741,82.9660329,NH31,,Varanasi
restaurant,dosa crush,25.354618,82.966059,NH31,,Varanasi
restaurant,mahadev nariyal pani,25.3546448,82.9655978,NH31,,Varanasi
